epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
41,1.0,1.0,2.900413069439889e-11,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8193156719207764,0.9433962106704712,0.9259259104728699,1.0
42,1.0,1.0,5.324678821775827e-14,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8193156719207764,0.9433962106704712,0.9259259104728699,1.0
43,1.0,1.0,5.166124195099542e-10,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8193165063858032,0.9433962106704712,0.9259259104728699,1.0
44,1.0,1.0,3.634480716385724e-09,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8193445205688477,0.9433962106704712,0.9259259104728699,1.0
45,1.0,1.0,2.4016349797761904e-08,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8194852471351624,0.9433962106704712,0.9259259104728699,1.0
46,0.9992942810058594,0.9994128346443176,0.006816451903432608,0.9994322061538696,0.998826265335083,0.998826265335083,0.9904761910438538,0.9957894682884216,1.071162223815918,0.9259259104728699,0.9090909361839294,1.0
47,0.9992942810058594,0.9991608262062073,0.020713679492473602,0.9982599020004272,0.998826265335083,0.998826265335083,0.9923809766769409,0.9957894682884216,1.1816190481185913,0.9259259104728699,0.9259259104728699,1.0
48,0.9992942810058594,0.9994125366210938,0.02543412335216999,0.9994319677352905,0.998826265335083,0.998826265335083,0.9885714054107666,0.9947367906570435,1.1095342636108398,0.9090909361839294,0.8928571343421936,1.0
49,1.0,1.0,4.2590306748024886e-07,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
50,1.0,1.0,7.148335505610063e-16,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
51,1.0,1.0,1.215514776505e-13,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
52,1.0,1.0,9.081566234973599e-15,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
53,1.0,1.0,2.914130828244715e-17,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
54,1.0,1.0,7.147676558799949e-22,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
55,1.0,1.0,1.3796569993696384e-19,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995256900787354,0.9259259104728699,0.8928571343421936,1.0
56,1.0,1.0,5.633922772751987e-10,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
57,1.0,1.0,2.0754834754044965e-14,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
58,1.0,1.0,1.3342122848481857e-16,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
59,1.0,1.0,1.480868008000014e-20,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
60,1.0,1.0,2.353457676093769e-18,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
61,1.0,1.0,5.995613873405843e-15,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
62,1.0,1.0,3.1706515799471275e-16,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
63,1.0,1.0,1.6854122264486904e-12,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
64,1.0,1.0,2.6093684504790993e-12,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
65,1.0,1.0,1.1166351963847696e-16,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517583847046,0.9259259104728699,0.8928571343421936,1.0
66,1.0,1.0,2.2885634359814944e-11,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517822265625,0.9259259104728699,0.8928571343421936,1.0
67,1.0,1.0,6.701681056479241e-15,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517822265625,0.9259259104728699,0.8928571343421936,1.0
68,1.0,1.0,1.3315169279659589e-12,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517822265625,0.9259259104728699,0.8928571343421936,1.0
69,1.0,1.0,2.7394710215186836e-18,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517822265625,0.9259259104728699,0.8928571343421936,1.0
70,1.0,1.0,4.4445994811075005e-23,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.099517822265625,0.9259259104728699,0.8928571343421936,1.0
71,1.0,1.0,2.9300055615729497e-20,1.0,1.0,1.0,0.9885714054107666,0.9957894086837769,1.0995177030563354,0.9259259104728699,0.8928571343421936,1.0
