epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
32,0.9650670289993286,0.9908110499382019,0.10752512514591217,0.9748626947402954,0.9552599787712097,0.9272300601005554,0.9657142758369446,0.9894105792045593,0.12137563526630402,0.8888835906982422,0.7857142686843872,0.8799999952316284
33,0.9880028367042542,0.9975824356079102,0.03991052508354187,0.9924203753471375,0.981176495552063,0.9788732528686523,0.9638095498085022,0.9922946691513062,0.11041147261857986,0.9187086820602417,0.7460317611694336,0.9399999976158142
34,0.9929428100585938,0.9976412653923035,0.027408722788095474,0.9911825656890869,0.9882628917694092,0.9882628917694092,0.961904764175415,0.9691157937049866,0.16751377284526825,0.8017392754554749,0.7419354915618896,0.9200000166893005
35,0.9915314316749573,0.9983184933662415,0.028851091861724854,0.9949188232421875,0.9847775101661682,0.987089216709137,0.9695237874984741,0.9727158546447754,0.12475565820932388,0.8820067644119263,0.7931034564971924,0.9200000166893005
36,0.994354248046875,0.9994995594024658,0.014982076361775398,0.9980512857437134,0.9883177280426025,0.9929577708244324,0.961904764175415,0.9771579504013062,0.21604019403457642,0.8050736784934998,0.734375,0.9399999976158142
37,0.9957656860351562,0.9993064999580383,0.01629948616027832,0.9969348907470703,0.9918032884597778,0.9941314458847046,0.9657142758369446,0.9679368138313293,0.24534156918525696,0.7954622507095337,0.7666666507720947,0.9200000166893005
38,0.9964714050292969,0.9995954632759094,0.011061844415962696,0.9983228445053101,0.9929742217063904,0.9953051805496216,0.9714285731315613,0.9695578813552856,0.23440784215927124,0.8116977214813232,0.7966101765632629,0.9399999976158142
39,0.9890614151954651,0.9964756369590759,0.042649153620004654,0.9918425679206848,0.9835100173950195,0.9800469279289246,0.9752380847930908,0.9745263457298279,0.12871810793876648,0.9353017210960388,0.8363636136054993,0.9200000166893005
40,0.9947071075439453,0.9995765686035156,0.014074438251554966,0.998231053352356,0.9894737005233765,0.9929577708244324,0.9733333587646484,0.9737473726272583,0.1317674070596695,0.8925164341926575,0.8214285969734192,0.9200000166893005
41,0.9968242645263672,0.9996705055236816,0.009498891420662403,0.9985564351081848,0.9929824471473694,0.9964788556098938,0.977142870426178,0.9529684782028198,0.2586379647254944,0.8397402167320251,0.8653846383094788,0.8999999761581421
42,0.9968242645263672,0.9996751546859741,0.010265321470797062,0.99854576587677,0.9929824471473694,0.9964788556098938,0.977142870426178,0.9676209688186646,0.09479373693466187,0.9422224164009094,0.8392857313156128,0.9399999976158142
43,0.9968242645263672,0.9999538064002991,0.008758684620261192,0.9998942613601685,0.9929824471473694,0.9964788556098938,0.9695237874984741,0.9756842851638794,0.1078372448682785,0.9220713376998901,0.8148148059844971,0.8799999952316284
44,0.9834156632423401,0.9954873323440552,0.061875298619270325,0.980684757232666,0.9718639850616455,0.9730046987533569,0.9714285731315613,0.9705683588981628,0.1403016746044159,0.8661611676216125,0.8181818127632141,0.8999999761581421
45,0.9975299835205078,0.9996302127838135,0.010317894630134106,0.9983963370323181,0.9941520690917969,0.9976525902748108,0.9733333587646484,0.962399959564209,0.18548621237277985,0.8475042581558228,0.8333333134651184,0.8999999761581421
46,0.9834156632423401,0.997792661190033,0.04332240670919418,0.9937518239021301,0.9785969257354736,0.9659624695777893,0.9733333587646484,0.9688000082969666,0.16013771295547485,0.8066312074661255,0.8333333134651184,0.8999999761581421
47,0.9982357025146484,0.9997089505195618,0.006496409885585308,0.9986432194709778,0.9941657185554504,1.0,0.9790475964546204,0.9821053147315979,0.1434272825717926,0.8596765398979187,0.8545454740524292,0.9399999976158142
48,0.9890614151954651,0.9986693263053894,0.02942872792482376,0.9970512986183167,0.9869513511657715,0.9765258431434631,0.977142870426178,0.9808841943740845,0.14462703466415405,0.8666915893554688,0.8275862336158752,0.9599999785423279
49,0.985532820224762,0.9977203607559204,0.04605326056480408,0.9941009283065796,0.9764982461929321,0.9753521084785461,0.9695237874984741,0.9939789175987244,0.1128610298037529,0.9094331860542297,0.774193525314331,0.9599999785423279
50,0.9932956695556641,0.9991251230239868,0.023697197437286377,0.9964196085929871,0.9905771613121033,0.987089216709137,0.9752380847930908,0.9737684726715088,0.1650668978691101,0.890418291091919,0.8135592937469482,0.9599999785423279
51,0.9890614151954651,0.9957818388938904,0.055360276252031326,0.989711344242096,0.9857988357543945,0.9776995182037354,0.9561904668807983,0.9191158413887024,0.20317023992538452,0.8345862627029419,0.9655172228813171,0.5600000023841858
52,0.9823570847511292,0.9949663281440735,0.0655263364315033,0.9878829717636108,0.9717646837234497,0.9694835543632507,0.977142870426178,0.9737685918807983,0.11934167891740799,0.8794021606445312,0.8275862336158752,0.9599999785423279
53,0.9978828430175781,0.9999796152114868,0.006240089423954487,0.9999525547027588,0.9953161478042603,0.9976525902748108,0.9790475964546204,0.9742316007614136,0.15276272594928741,0.8815721273422241,0.8545454740524292,0.9399999976158142
54,0.991178572177887,0.9991094470024109,0.02625139243900776,0.9965655207633972,0.9881936311721802,0.9823943376541138,0.9752380847930908,0.9719579815864563,0.17096884548664093,0.847801923751831,0.8363636136054993,0.9200000166893005
55,0.9872971177101135,0.998008668422699,0.04179595038294792,0.994758665561676,0.9800000190734863,0.9776995182037354,0.9561904668807983,0.9741684198379517,0.13777020573616028,0.887701690196991,0.7076923251152039,0.9200000166893005
56,0.9661256074905396,0.9934110641479492,0.09309413284063339,0.9856147766113281,0.9621027112007141,0.9237089157104492,0.9599999785423279,0.9660631418228149,0.3381083607673645,0.7783050537109375,0.7377049326896667,0.8999999761581421
57,0.9929428100585938,0.9988464117050171,0.0247173048555851,0.9975074529647827,0.9905660152435303,0.98591548204422,0.9657142758369446,0.9691158533096313,0.17412249743938446,0.837792694568634,0.7758620977401733,0.8999999761581421
58,0.9961185455322266,0.9994013905525208,0.012780996039509773,0.9973015189170837,0.9918128848075867,0.9953051805496216,0.9695237874984741,0.9751157760620117,0.12552745640277863,0.9211702942848206,0.8148148059844971,0.8799999952316284
59,0.9932956695556641,0.9986225962638855,0.026073630899190903,0.9960939884185791,0.9940688014030457,0.9835680723190308,0.9676190614700317,0.9825473427772522,0.13600598275661469,0.8900901079177856,0.7796609997749329,0.9200000166893005
60,1.0,1.0,0.0007654154323972762,1.0,1.0,1.0,0.9676190614700317,0.9751788973808289,0.4840526282787323,0.7673985958099365,0.7704917788505554,0.9399999976158142
61,1.0,1.0,0.0007771289092488587,1.0,1.0,1.0,0.9676190614700317,0.9794316291809082,0.2586315870285034,0.8252381086349487,0.7894737124443054,0.8999999761581421
62,0.9961185455322266,0.9995737075805664,0.014488141052424908,0.9983116388320923,0.9929659962654114,0.9941314458847046,0.9657142758369446,0.9768841862678528,0.2619214951992035,0.7968717813491821,0.75,0.9599999785423279
63,0.9968242645263672,0.999894917011261,0.009439182467758656,0.9997457265853882,0.9941383600234985,0.9953051805496216,0.9714285731315613,0.9602736234664917,0.26303115487098694,0.8139397501945496,0.8181818127632141,0.8999999761581421
64,0.994354248046875,0.9991582036018372,0.020042158663272858,0.9988740682601929,0.9917647242546082,0.9894366264343262,0.9809523820877075,0.9857262372970581,0.10057377070188522,0.9364782571792603,0.8846153616905212,0.9200000166893005
65,0.9887085556983948,0.9983373284339905,0.039080798625946045,0.9934451580047607,0.9834905862808228,0.9788732528686523,0.9752380847930908,0.9730315804481506,0.15365855395793915,0.8704211115837097,0.849056601524353,0.8999999761581421
66,0.9985885620117188,0.9993962645530701,0.006394049618393183,0.9994071125984192,0.9976525902748108,0.9976525902748108,0.9752380847930908,0.9928420782089233,0.09583974629640579,0.8968732953071594,0.8032786846160889,0.9800000190734863
67,0.9968242645263672,0.9999301433563232,0.009184496477246284,0.9998423457145691,0.9941383600234985,0.9953051805496216,0.9695237874984741,0.9722526669502258,0.17259454727172852,0.8672156929969788,0.8148148059844971,0.8799999952316284
68,0.9982357025146484,0.999971330165863,0.0047325133346021175,0.999931812286377,0.9976498484611511,0.9964788556098938,0.9695237874984741,0.9697051644325256,0.22744786739349365,0.8206704258918762,0.8148148059844971,0.8799999952316284
69,0.9915314316749573,0.996990442276001,0.0678650364279747,0.9928801655769348,0.9893617033958435,0.9823943376541138,0.8399999737739563,0.8966315984725952,0.4413382411003113,0.5518127679824829,0.34259259700775146,0.7400000095367432
70,0.8623853325843811,0.9277153611183167,0.32841917872428894,0.8378520011901855,0.8147138953208923,0.7018779516220093,0.9657142758369446,0.9722527265548706,0.12076271325349808,0.8271743655204773,0.7962962985038757,0.8600000143051147
71,0.978828489780426,0.9966276288032532,0.06150815263390541,0.9894415736198425,0.9637002348899841,0.9659624695777893,0.9657142758369446,0.9834946990013123,0.14009980857372284,0.9107220768928528,0.7758620977401733,0.8999999761581421
72,0.9932956695556641,0.997593343257904,0.029194220900535583,0.9963377714157104,0.9905771613121033,0.987089216709137,0.961904764175415,0.9684842228889465,0.29525333642959595,0.8011289834976196,0.7419354915618896,0.9200000166893005
73,1.0,0.9999999403953552,0.0010453962022438645,1.0,1.0,1.0,0.9695237874984741,0.9601053595542908,0.3546975553035736,0.8087562322616577,0.7931034564971924,0.9200000166893005
74,0.9883556962013245,0.9977287650108337,0.04199690371751785,0.9931728839874268,0.9811986088752747,0.9800469279289246,0.9676190614700317,0.9658946394920349,0.15321044623851776,0.9272350072860718,0.8113207817077637,0.8600000143051147
75,0.9978828430175781,0.9999338984489441,0.008545925840735435,0.9998493790626526,0.9976470470428467,0.9953051805496216,0.961904764175415,0.9697052836418152,0.2989200949668884,0.8260501027107239,0.734375,0.9399999976158142
76,0.9989414215087891,0.9999802112579346,0.005600272677838802,0.9999539852142334,0.9976553320884705,0.998826265335083,0.9733333587646484,0.9724631905555725,0.17720045149326324,0.8703480958938599,0.8333333134651184,0.8999999761581421
77,0.9954128265380859,0.9990326166152954,0.020595936104655266,0.9978622794151306,0.995277464389801,0.9894366264343262,0.9733333587646484,0.9636842608451843,0.16648133099079132,0.8811700344085693,0.8214285969734192,0.9200000166893005
78,0.9950599670410156,0.9992674589157104,0.016908831894397736,0.9991269707679749,0.9906322956085205,0.9929577708244324,0.9695237874984741,0.9683789014816284,0.2572612464427948,0.7968029379844666,0.8148148059844971,0.8799999952316284
79,0.9982357025146484,0.9999715685844421,0.005476505495607853,0.9999333024024963,0.9964830279350281,0.9976525902748108,0.977142870426178,0.9733893871307373,0.19227637350559235,0.8703632950782776,0.8392857313156128,0.9399999976158142
80,0.9968242645263672,0.9988073706626892,0.016251787543296814,0.9967420101165771,0.9941383600234985,0.9953051805496216,0.9638095498085022,0.9674317240715027,0.24288007616996765,0.8031141757965088,0.7384615540504456,0.9599999785423279
81,0.9971771240234375,0.9993634223937988,0.008968619629740715,0.9993445873260498,0.9976415038108826,0.9929577708244324,0.961904764175415,0.9877051711082458,0.2591133117675781,0.8121379613876343,0.7142857313156128,1.0
82,0.9922370910644531,0.9984399080276489,0.025368981063365936,0.9980468153953552,0.987089216709137,0.987089216709137,0.9752380847930908,0.9950737357139587,0.0806063711643219,0.9438592195510864,0.849056601524353,0.8999999761581421
83,0.9971771240234375,0.9999375939369202,0.00881149061024189,0.999856173992157,0.9953051805496216,0.9953051805496216,0.977142870426178,0.9848631620407104,0.09355676919221878,0.92003333568573,0.8653846383094788,0.8999999761581421
84,0.9954128265380859,0.9998539090156555,0.014223065227270126,0.9996722340583801,0.9906432628631592,0.9941314458847046,0.9790475964546204,0.9637895822525024,0.22655688226222992,0.8677536249160767,0.8979591727256775,0.8799999952316284
85,0.9975299835205078,0.999646782875061,0.0097233010455966,0.9985238313674927,0.9964747428894043,0.9953051805496216,0.9695237874984741,0.9669263362884521,0.33350491523742676,0.7788739800453186,0.774193525314331,0.9599999785423279
